latitude,longitude,name,desc,color,source,precision
33.6708346,-111.9065666,"20469 N. Hayden Road, Scottsdale, AZ","20469 N Hayden Rd, Scottsdale, AZ 85255",,Bing Maps,address
33.5445482,-111.9015341,"7345 N Via Paseo del sur, scottsdale , AZ","7345 N Via Paseo del Sur, Scottsdale, AZ 85258",,Bing Maps,address
33.5086327,-111.9248886,"4925 N. Scottsdale Rd.   , Scottsdale , AZ","4925 N Scottsdale Rd, Scottsdale, AZ 85251",,Bing Maps,address
34.8694038,-111.7582703,"100 Amara Lane, Sedona, AZ","100 Amara Ln, Sedona, AZ 86336",,Bing Maps,address
33.428535,-111.943954,"149 S. Farmer, Tempe, AZ","149 S Farmers Ave, Tempe, AZ 85281",,Bing Maps,address
33.4234759,-111.9401211,"680 S. Mill ave Suite 109, Tempe, AZ","680 S Mill Ave, Tempe, AZ 85281",,Bing Maps,address
32.2281494,-110.9658737,"513 N 4th Ave, Tucson, AZ","513 N 4th Ave, Tucson, AZ 85705",,Bing Maps,address
32.3227859,-110.9297544,"2995 E Skyline Drive, Tucson, AZ","2995 E Skyline Dr, Tucson, AZ 85718",,Bing Maps,address
32.2234383,-110.9696808,"101 E Pennington , Tucson, AZ","101 E Pennington St, Tucson, AZ 85701",,Bing Maps,address
32.2218513,-110.9675598,"278 E Congress St, Tucson, AZ","278 E Congress St, Tucson, AZ 85701",,Bing Maps,address
32.1271553,-111.0841599,"5655 W. Valencia Rd., Tucson, AZ","5655 W Valencia Rd, Tucson, AZ 85757",,Bing Maps,address
32.2210007,-110.9271851,"139 s eastbourne , Tucson , AZ","139 S Eastbourne Ave, Tucson, AZ 85716",,Bing Maps,address
37.767723,-122.239433,"1650 Park St. Unit A, Alameda, CA","1650 Park St, Alameda, CA 94501",,Bing Maps,address
37.8950005,-122.3001022,"601 San Pablo Ave, Albany, CA","601 San Pablo Ave, Albany, CA 94706",,Bing Maps,address
33.8314661,-117.9124416,"440 S. Anaheim Blvd., Anaheim, CA","440 S Anaheim Blvd, Anaheim, CA 92805",,Bing Maps,address
33.8314661,-117.9124416,"440 South Anaheim Blvd, Anaheim, CA","440 S Anaheim Blvd, Anaheim, CA 92805",,Bing Maps,address
33.8314661,-117.9124416,"440 S Anaheim Blvd. No 209-B, Anaheim, CA","440 S Anaheim Blvd, Anaheim, CA 92805",,Bing Maps,address
38.0048834,-121.7627607,"3100 E 18th St, Antioch, CA","3100 E 18th St, Antioch, CA 94509",,Bing Maps,address
37.8694084,-122.2660377,"2200 Oxford Street, Berkeley, CA","2200 Oxford St, Berkeley, CA 94704",,Bing Maps,address
37.875041,-122.2688366,"1788 Shattuck Ave., Berkeley, CA","1788 Shattuck Ave, Berkeley, CA 94709",,Bing Maps,address
37.8692172,-122.2688768,"2086 Allston Way, Berkeley, CA","2086 Allston Way, Berkeley, CA 94704",,Bing Maps,address
34.072624,-118.395385,"9291 Burton Way, Beverly Hills, CA","9291 Burton Way, Beverly Hills, CA 90210",,Bing Maps,address
34.0685888,-118.4007264,"301 North Beverly Drive, Beverly Hills, CA","301 N Beverly Dr, Beverly Hills, CA 90210",,Bing Maps,address
34.0680771,-118.3985519,"225 N Canon Drive, Beverly Hills, CA","225 N Canon Dr, Beverly Hills, CA 90210",,Bing Maps,address
33.9186745,-117.9008255,"210 West Birch Street, Brea, CA","210 W Birch St, Brea, CA 92821",,Bing Maps,address
34.1818625,-118.3111648,"164 E Palm Ave, Burbank, CA","164 E Palm Ave, Burbank, CA 91502",,Bing Maps,address
37.598629,-122.3806839,"1846 Rollins Road, Burlingame, CA","1846 Rollins Rd, Burlingame, CA 94010",,Bing Maps,address
37.5798035,-122.3472443,"327 Lorton Avenue, Burlingame, CA","327 Lorton Ave, Burlingame, CA 94010",,Bing Maps,address
34.1536522,-118.6466751,"4799 Commons Way, Calabasas, CA","4799 Commons Way, Calabasas, CA 91302",,Bing Maps,address
37.288444,-121.933395,"1875 S. Bascom Ave Suite 190, Campbell, CA","1875 S Bascom Ave, Campbell, CA 95008",,Bing Maps,address
33.1586487,-117.3511934,"2978 Carlsbad Blvd #110, Carlsbad, CA","2978 Carlsbad Blvd, Carlsbad, CA 92008",,Bing Maps,address
33.1586487,-117.3511934,"2978 Carlsbad Blvd #108, Carlsbad, CA","2978 Carlsbad Blvd, Carlsbad, CA 92008",,Bing Maps,address
36.5550897,-121.9244302,"Ocean Avenue at Monte Verde Street (at The Pine Inn) , Carmel-by-the-Sea, CA","Ocean Ave & Monte Verde St, Carmel, CA 93921",,Bing Maps,intersection
33.5937157,-117.8674774,"3801 E. Coast Highway, Corona del Mar, CA","3801 E Coast Hwy, Corona del Mar, CA 92625",,Bing Maps,address
32.6976668,-117.1696106,"1333 First Street, Coronado, CA","1333 First St, Coronado, CA 92118",,Bing Maps,address
37.9284981,-122.5180386,"223 Corte Madera Town Center , Corte Madera, CA","223 Corte Madera Town Center, Corte Madera, CA 94925",,Bing Maps,address
33.6796494,-117.8865585,"725 Baker Street, Costa Mesa, CA","725 Baker St, Costa Mesa, CA 92626",,Bing Maps,address
33.6318279,-117.9136775,"353 E 17th St, Costa Mesa, CA","353 E 17th St, Costa Mesa, CA 92627",,Bing Maps,address
33.6965103,-117.9251709,"3133 Hyland Ave., Costa Mesa, CA","Hyland Ave, Costa Mesa, CA 92626",,Bing Maps,street
33.6787071,-117.8865967,"2937 Bristol St A103, Costa Mesa, CA","2937 Bristol St, Costa Mesa, CA 92626",,Bing Maps,address
33.6433983,-117.9330484,"820 W 19th St, Costa Mesa, CA","820 W 19th St, Costa Mesa, CA 92627",,Bing Maps,address
33.691799,-117.880218,"3350 Avenue of the Arts, Costa Mesa, CA","3350 Avenue of the Arts, Costa Mesa, CA 92626",,Bing Maps,address
33.6438637,-117.9197464,"512 W. 19th Street, Costa Mesa, CA","512 W 19th St, Costa Mesa, CA 92627",,Bing Maps,address
33.6902632,-117.8830936,"650 Anton Blvd, Costa Mesa, CA","650 Anton Blvd, Costa Mesa, CA 92626",,Bing Maps,address
33.6385784,-117.9217234,"1767 Newport Boulevard, Costa Mesa, CA","1767 Newport Blvd, Costa Mesa, CA 92627",,Bing Maps,address
