"zcta5","zipname","pop10","afact"
"ZIP Census Tabulation Area","zipname","Total Pop, 2010 census","zcta5 to _us_ alloc factor"
"02351","Abington, MA",16029,1 
"02356","North Easton, MA",12564,1 
"02357","Easton, North Easton, MA",1360,1 
"02359","Pembroke, MA",17828,1 
"02360","Plymouth, MA",56271,1 
"02364","Kingston, MA",12629,1 
"02366","South Carver, MA (PO Boxes)",197,1 
"02367","Plympton, MA",2820,1 
"02368","Randolph, MA",32158,1 
"02370","Rockland, MA",17489,1 
"02375","South Easton, MA",9188,1 
"02379","West Bridgewater, MA",6916,1 
"02382","Whitman, MA",14489,1 
"02420","Lexington, MA",14052,1 
"02421","Lexington, MA",17342,1 
"02445","Brookline, MA",20679,1 
"02446","Brookline, MA",29311,1 
"02451","Waltham, MA",17426,1 
"02452","Waltham, MA",14238,1 
"02453","Waltham, MA",28968,1 
"02457","Wellesley, MA",1432,1 
"02458","Newton, MA",12131,1 
"02459","Newton, MA",19095,1 
"02460","Newton, MA",8742,1 
"02461","Newton, MA",7059,1 
"02462","Newton, MA",1554,1 
"02464","Newton, MA",2953,1 
"02465","Newton, MA",11710,1 
"02466","Newton, MA",8096,1 
"02467","Brookline, MA",22491,1 
"02468","Newton, MA",5273,1 
"02472","Watertown Town, MA",32014,1 
"02474","Arlington, MA",26312,1 
"02476","Arlington, MA",16532,1 
"02478","Belmont, MA",24664,1 
"02481","Wellesley, MA",16244,1 
"02482","Wellesley, MA",10306,1 
"02492","Needham, MA",19931,1 
"02493","Weston, MA",11261,1 
"02494","Needham, MA",8955,1 
"02532","Buzzards Bay, MA",12690,1 
"02534","Cataumet, MA (PO Boxes)",842,1 
"02535","Chilmark, MA",1177,1 
"02536","East Falmouth, MA",19583,1 
"02537","East Sandwich, MA",6293,1 
"02538","White Island Shores, MA",3603,1 
"02539","Edgartown, MA",4067,1 
"02540","Falmouth, MA",8221,1 
"02542","Buzzards Bay, MA",1139,1 
"02543","Woods Hole, MA",635,1 
"02553","Monument Beach, MA",226,1 
"02554","Nantucket, MA",9852,1 
"02556","North Falmouth, MA",3115,1 
"02557","Oak Bluffs, MA (PO Boxes)",4491,1 
"02558","Onset, MA",2156,1 
"02559","Pocasset, MA",3376,1 
"02561","Sagamore, MA",539,1 
"02562","Sagamore, MA",2977,1 
"02563","Sandwich, MA",10359,1 
"02564","Siasconset, MA",310,1 
"02568","Vineyard Haven, MA",4000,1 
"02571","Wareham, MA",10481,1 
"02575","West Tisbury, MA (PO Boxes)",2725,1 
"02576","West Wareham, MA",3754,1 
"02584","Nantucket, MA",10,1 
"02601","Barnstable Town, MA",14089,1 
"02630","Barnstable Town, MA",1850,1 
"02631","Brewster, MA",9679,1 
"02632","Barnstable Town, MA",10742,1 
"02633","Chatham, MA",3884,1 
"02635","Barnstable Town, MA",3296,1 
"02637","Barnstable Town, MA",253,1 
"02638","Dennis, MA",3207,1 
"02639","Dennis Port, MA",2875,1 
"02641","East Dennis, MA",532,1 
"02642","Eastham, MA",4937,1 
"02643","East Orleans, MA (PO Boxes)",26,1 
"02644","Forestdale, MA",3955,1 
"02645","East Harwich, MA",9663,1 
"02646","Harwich Port, MA",1676,1 
"02647","Barnstable Town, MA",129,1 
"02648","Barnstable Town, MA",7301,1 
"02649","Mashpee, MA",14006,1 
"02650","North Chatham, MA",848,1 
"02651","North Eastham, MA (PO Boxes)",16,1 
"02652","North Truro, MA (PO Boxes)",1175,1 
"02653","Orleans, MA",5911,1 
"02655","Barnstable Town, MA",3518,1 
"02657","Provincetown, MA",2942,1 
"02659","South Chatham, MA",1108,1 
"02660","South Dennis, MA",6261,1 
"02663","South Wellfleet, MA (PO Boxes)",173,1 
"02664","South Yarmouth, MA",9371,1 
